,,Passing,,,,,,,,,,,
Tm?,G,Cmp,Att,Yds,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%
Arizona Cardinals,16,355,554,3477,18,24,4,18,3.40%,93,17.70%,386,73.40%
Atlanta Falcons,16,459,684,4714,19,28,3,17,2.60%,96,14.70%,494,75.70%
Baltimore Ravens,16,289,440,3225,14,12,2,14,3.30%,74,17.40%,322,75.60%
Buffalo Bills,16,299,513,3229,13,25,4,36,7.40%,97,20.00%,352,72.70%
Carolina Panthers,16,382,633,3650,17,31,2,33,5.50%,115,19.20%,438,73.00%
Chicago Bears,16,371,580,3291,9,7,3,32,5.60%,102,17.90%,428,75.10%
Cincinnati Bengals,16,356,616,3652,16,20,7,31,5.30%,111,18.80%,415,70.50%
Cleveland Browns,16,318,539,3554,20,20,2,31,6.00%,93,18.00%,365,70.60%
Dallas Cowboys,16,388,597,4751,9,15,1,36,6.20%,86,14.80%,451,77.60%
Denver Broncos,16,312,504,3115,12,25,1,27,5.60%,85,17.80%,358,74.90%
Detroit Lions,16,344,571,3900,13,16,4,20,3.60%,125,22.70%,371,67.30%
Green Bay Packers,16,356,573,3733,3,31,1,24,4.40%,115,21.30%,404,74.70%
Houston Texans,16,355,534,3783,6,20,2,21,4.10%,87,17.00%,393,76.80%
Indianapolis Colts,16,307,513,3108,12,22,3,27,5.50%,93,19.10%,360,73.80%
Jacksonville Jaguars,16,364,589,3760,10,23,1,28,5.00%,97,17.20%,420,74.30%
Kansas City Chiefs,16,378,576,4498,9,20,1,28,5.00%,100,18.00%,427,76.90%
Los Angeles Chargers,16,394,597,4426,13,16,3,26,4.50%,89,15.40%,444,76.80%
Los Angeles Rams,16,397,632,4499,17,16,1,27,4.40%,124,20.20%,438,71.20%
Miami Dolphins,16,371,615,3804,22,8,3,36,6.00%,112,18.50%,432,71.50%
Minnesota Vikings,16,319,466,3523,11,24,0,20,4.50%,69,15.60%,348,78.70%
New England Patriots,16,378,620,3961,6,40,0,34,5.90%,120,20.70%,424,73.10%
New Orleans Saints,16,418,581,4244,8,18,5,29,5.20%,62,11.10%,462,82.80%
New York Giants,16,376,607,3731,10,16,0,21,3.60%,108,18.30%,425,71.90%
New York Jets,16,323,521,3111,13,26,2,29,5.90%,88,17.80%,369,74.80%
Oakland Raiders,16,367,523,3926,9,28,2,25,5.10%,56,11.40%,406,82.40%
Philadelphia Eagles,16,391,613,3833,17,10,1,29,4.80%,106,17.60%,435,72.30%
Pittsburgh Steelers,16,315,510,2981,8,29,0,32,6.70%,95,19.80%,352,73.20%
San Francisco 49ers,16,331,478,3792,6,7,2,28,6.00%,64,13.60%,379,80.80%
Seattle Seahawks,16,341,517,3791,9,20,3,17,3.40%,91,18.40%,376,76.10%
Tampa Bay Buccaneers,16,382,630,4845,11,23,2,23,3.80%,125,20.70%,423,69.90%
Tennessee Titans,16,297,448,3582,8,14,5,19,4.40%,66,15.40%,332,77.40%
Washington Redskins,16,298,479,2812,11,14,3,26,5.60%,85,18.40%,339,73.40%
